,1_0,0_1,1_1,0_2,1_2,0_3,1_3,0_4,1_4,0_5,1_5,agent
0,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,-0.142278598,1.999999497,-0.113061471,-0.103067124,-0.101315932,-0.093826265,1.999999497
1,-3.258062201,-0.395099438,-0.392021348,0.503513399,0.144329082,0.853863521,0.483104621,0.918756019,0.526199033,0.945297016,0.547089866,0.922811147
2,-3.535213935,-0.484905016,-0.480220241,0.126769408,-0.123187663,0.641978717,0.264239124,0.83630051,0.448386371,0.919677126,0.529114123,0.850905328
3,-4.188488543,-0.649684767,-0.649114628,-0.22838995,-0.228180239,-0.138971562,-0.138841705,-0.11094798,-0.110843402,-0.099661159,-0.099566756,-0.109236067
4,1.999999473,1.999999497,1.999999301,1.999999497,1.999999497,0.421419911,1.999999497,-0.05121041,-0.047535222,-0.042245132,-0.039623822,1.999999497
5,-3.15007335,-0.4937788,-0.493626757,-0.128763548,-0.129486481,0.533281038,0.133427617,0.769554761,0.369629463,0.869940127,0.469985199,0.785530204
6,-2.774427043,-0.45639855,1.999999974,-0.159797389,-0.153855801,-0.094629948,-0.091915295,-0.073751038,-0.072028401,-0.065324642,-0.064009588,-0.12432184
7,-3.098071195,-0.406084707,-0.405956392,0.341109621,-0.058679898,0.747909452,0.347993059,0.87896263,0.479003417,0.932511259,0.532534193,0.909203838
8,-4.00220297,-0.55832139,-0.557878426,-0.148429611,-0.148324781,0.208580811,-0.060962125,0.486862529,0.087425043,0.601707981,0.202091985,0.364609168
9,-4.381057461,-0.534726872,-0.530351358,0.403853315,0.376406055,1.999999497,1.999999497,1.999999497,1.999999497,0.923688753,0.533247692,1.999999496
10,-2.727180152,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974,1.999999974
11,1.999999498,1.999999498,1.999999497,1.999999498,1.999998549,-0.124512391,-0.116799639,-0.095061643,-0.090172969,-0.083217126,-0.079546466,1.999999469
12,-3.097107497,1.999999974,1.999999974,1.999999974,1.999999974,0.450264164,0.205107107,0.424271218,0.037605422,0.514567793,0.119366008,0.22186351
13,-2.665396014,-0.396044492,-0.392059873,0.394352768,0.038851153,0.742658146,0.353088221,0.874260794,0.478754736,0.930728408,0.533432618,0.887722998
14,-3.842011786,1.999999939,1.999999939,-0.264757759,-0.249447334,-0.179992682,-0.172875769,-0.15300541,-0.148274653,-0.142255414,-0.138526419,-0.243286044
15,-2.744093771,1.999999939,1.999999939,1.999999939,1.999999934,0.998206105,1.999999939,1.999999939,1.999999939,1.999999939,1.999999939,1.999999939
16,1.999999497,1.999999497,1.999997558,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497
17,2.19999145,2.099991453,2.199984959,2.099991453,2.099991453,1.999991453,2.099991453,0.536457407,1.999991447,0.492163557,0.277570506,2.099991453
18,1.999998287,1.999998291,1.999998291,1.999998291,1.999998291,1.999998291,1.999998291,1.999990649,1.999998109,0.83954824,0.453382128,1.999998291
19,2.199991456,2.199991442,2.199991455,2.199940698,2.199988504,2.099991456,2.099991456,1.999991454,2.099991456,0.660500196,0.371952614,2.199303149
20,-3.874962738,-0.712978287,1.999999939,-0.332617184,-0.3146123,-0.248544023,-0.239273146,-0.222217818,-0.215640991,-0.21198247,-0.206597257,-0.299828204
21,-3.134008564,1.999999974,1.999999974,1.999999974,1.999999974,0.523844833,1.999999974,0.343887808,0.017985899,0.387545754,0.014533014,1.999999974
22,-2.781799749,-0.421284155,-0.420282714,0.138119101,-0.113715288,0.567020079,0.168600657,0.713835376,0.314683243,0.774905497,0.375466347,0.61941037
23,-2.639176746,-0.473066636,-0.462716928,-0.200362519,-0.197071825,-0.14116033,-0.139393986,-0.122709493,-0.121428511,-0.115472114,-0.114407059,-0.147598572
24,1.999999496,-0.532928829,-0.53052174,-0.141295757,-0.140636602,0.223659153,-0.060056586,0.364186851,-0.025705022,0.419060807,0.024406061,0.073836024
25,1.999999497,1.999999497,1.99999949,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497,1.999999497
26,-3.584291585,-0.90310044,-0.903074861,-0.539175981,-0.539159664,-0.463442675,-0.463428275,-0.441260887,-0.441246995,-0.433202214,-0.433188478,-0.434078693
27,1.999998291,1.999998291,1.999998291,1.999998291,1.999998291,1.999998291,1.999998291,0.864205913,0.478319202,0.729166042,0.353671319,1.999998291
28,-3.321890621,-0.568571682,-0.52891525,-0.16162436,1.999999974,0.010579303,0.161150606,0.222517165,-0.00513937,0.321271424,0.000535737,1.999999974
29,-3.790077876,-0.606508764,1.999999939,-0.210634274,-0.198600951,-0.125311884,-0.119782378,-0.098361156,-0.094779464,-0.087505181,-0.084738023,-0.202531567
,,,,,,,,,,,,
,-1.539653912,0.656883131,0.921774249,0.856393179,0.875486679,0.712146636,0.823778632,0.691748406,0.595403637,0.59600325,0.399478273,1.07914332
